År,Årsmedelvarden
1968.0,5.815300546448087
1969.0,5.718904109589041
1970.0,4.7813698630136985
1971.0,6.161369863013699
1972.0,6.865573770491804
1973.0,6.646027397260275
1974.0,6.907123287671233
1975.0,7.71068493150685
1976.0,5.483333333333333
1977.0,5.697808219178082
1978.0,5.223561643835616
1979.0,5.244657534246575
1980.0,5.292622950819672
1981.0,5.297534246575342
1982.0,6.3024657534246575
1983.0,6.803561643835617
1984.0,6.613387978142076
1985.0,4.067397260273973
1986.0,5.467671232876713
1987.0,4.2405479452054795
1988.0,6.248633879781421
1989.0,7.711780821917809
1990.0,7.6309589041095895
1991.0,6.6446575342465755
1992.0,7.212295081967213
1993.0,6.310958904109589
1994.0,6.636438356164384
1995.0,6.415616438356164
1996.0,5.702185792349726
1997.0,7.018356164383561
